WL  [nm]	T film1	T film2	T film3
2490.5	0.866404598712912	0.850244548797598	0.855208448648444
2470.5	0.848035648941985	0.842899999022475	0.818888343811027
2450.5	0.852604848742476	0.859876398921004	0.854508503794661
2430.5	0.857954293727866	0.836908948779097	0.827611743926993
2410.499999999999	0.83478425371646	0.863156898975363	0.837374903798094
2390.5	0.856749198555937	0.848305398821822	0.851332793712607
2370.5	0.844447398781768	0.848762948989859	0.827231743693343
2350.5	0.832471793889991	0.864950448513022	0.836306603789321
2330.5	0.84476965391635	0.857943898558608	0.851252553701392
2310.499999999999	0.846623698711387	0.850280048608771	0.841899693965903
2290.5	0.835937948942176	0.858269248962393	0.832101943850509
2270.5	0.83050449371337	0.865712148904792	0.836807054042807
2250.499999999999	0.83289840412139	0.867563448786726	0.843610353946677
2230.5	0.837029648780814	0.865776198625556	0.846835393667212
2210.5	0.837266448616973	0.865410998821249	0.846127653837196
2190.5	0.838897443890563	0.868543749094	0.846621394038191
2170.5	0.838291953563681	0.870064898848525	0.845814703702918
2150.5	0.839287888646117	0.872887498855581	0.845729743838301
2130.499999999999	0.8392904587984	0.876227398633948	0.844913998842231
2110.5	0.843955443739882	0.8772840489149	0.845503598809234
2090.5	0.847957903742781	0.876440798759452	0.85200005388259
2070.499999999999	0.850272943854323	0.875938598990432	0.858932493805876
2050.5	0.844487053871146	0.885183098673811	0.855741498708716
2030.5	0.844133943915359	0.892250848770132	0.84442164862155
2010.5	0.862283603548995	0.88360919892787	0.856738304018965
1990.5	0.856713493943206	0.885379198908796	0.865448093652716
1970.5	0.858349803805342	0.89719004881381	0.847991298913947
1950.5	0.871835443735114	0.886935498595228	0.870560648798933
1930.5	0.866263153672209	0.902316049098959	0.852514203786841
1910.5	0.87551294374465	0.892408398628225	0.873368543744078
1890.5	0.883268248796454	0.902728148937216	0.861000748991957
1870.5	0.881023348808279	0.901783698916426	0.864553448677054
1850.5	0.895624903917304	0.899013648867597	0.8784006037712
1830.5	0.899639893770208	0.909427448868742	0.870070943832388
1810.5	0.901427398681631	0.910835898399343	0.872013598680487
1790.5	0.906560898661604	0.912327948808661	0.871373848557463
1770.5	0.911065154075613	0.912546948671331	0.878246753811827
1750.5	0.913857793927183	0.914713048696508	0.881014593839636
1730.5	0.916700749039641	0.914666248798361	0.884464698910704
1710.5	0.918239598631849	0.917237948894491	0.880816348910323
1690.5	0.923083103775968	0.920918148636808	0.884395303606977
